fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lam,n_frames,realised_f1,realised_payload
2021_08_21_17_30_41,26,400,10.0,2,0.5,balanced,0.35,3454,0.9016913802126237,0.0010295309785755648
2021_08_22_13_37_16,26,400,10.0,2,0.5,balanced,0.35,2970,0.9544054536568195,0.0006941077441077442
2021_08_22_22_01_17,26,400,10.0,2,0.5,balanced,0.35,4444,0.9431796159628563,0.0005117574257425743
2021_08_23_10_51_24,26,400,10.0,2,0.5,balanced,0.35,1408,0.8539902529997728,0.0008739346590909088
2021_08_23_13_17_21,26,400,10.0,2,0.5,balanced,0.35,1056,0.8612645076712288,0.0009524147727272726
2021_08_23_19_42_07,26,400,10.0,2,0.5,balanced,0.35,1254,0.8203124391682662,0.0007212918660287082
2021_09_09_19_27_35,26,400,10.0,2,0.5,balanced,0.35,10098,0.6404798132549755,0.0012832491582491583
2021_09_11_00_33_16,26,400,10.0,2,0.5,balanced,0.35,16412,0.8643245658364919,0.0019596179624664883
2021_08_20_21_48_35,27,400,10.0,2,0.5,balanced,0.5,2464,0.8761907282137027,0.0010399756493506493
2021_08_21_17_30_41,27,400,10.0,2,0.5,balanced,0.5,3454,0.9016913802126237,0.0010295309785755648
2021_08_22_13_37_16,27,400,10.0,2,0.5,balanced,0.5,2970,0.9540260467252958,0.0006686026936026935
