rate,frame,ri,rj,cw_i,cw_j,dcw,f1_i,f1_j,df1
0.001,369,0,3,12,12,0,0.96,0.96,0.0
0.001,376,0,3,13,13,0,0.96,0.96,0.0
0.001,377,0,3,13,13,0,0.96,0.96,0.0
0.001,395,0,3,10,10,0,1.0,1.0,0.0
0.001,405,0,3,13,13,0,0.9333333333333332,0.9333333333333332,0.0
0.001,411,0,3,8,8,0,1.0,1.0,0.0
0.001,420,0,3,8,8,0,1.0,1.0,0.0
0.001,422,0,3,12,12,0,1.0,1.0,0.0
0.001,423,0,3,15,15,0,1.0,1.0,0.0
0.001,427,0,3,14,14,0,1.0,1.0,0.0
0.001,441,0,3,10,10,0,1.0,1.0,0.0
0.001,445,0,3,12,12,0,1.0,1.0,0.0
0.001,446,0,3,16,16,0,1.0,1.0,0.0
0.001,452,0,3,11,11,0,1.0,1.0,0.0
0.001,465,0,3,12,12,0,1.0,1.0,0.0
0.001,472,0,3,12,12,0,1.0,1.0,0.0
0.001,520,0,3,15,15,0,1.0,1.0,0.0
0.001,549,0,3,12,12,0,1.0,1.0,0.0
0.001,555,0,3,9,9,0,1.0,1.0,0.0
0.001,561,0,3,17,17,0,1.0,1.0,0.0
0.001,588,0,3,12,12,0,1.0,1.0,0.0
0.001,590,0,3,11,11,0,0.923076923076923,0.923076923076923,0.0
0.001,614,0,3,14,14,0,0.8571428571428571,0.8571428571428571,0.0
0.001,641,0,3,12,12,0,0.9545454545454544,0.9545454545454544,0.0
0.001,644,0,3,13,13,0,0.8571428571428571,0.8571428571428571,0.0
0.001,656,0,3,14,14,0,0.9361702127659574,0.9361702127659574,0.0
0.001,657,0,3,14,14,0,1.0,1.0,0.0
0.001,662,0,3,10,10,0,0.9333333333333332,0.9333333333333332,0.0
0.001,668,0,3,15,15,0,0.9767441860465116,0.9767441860465116,0.0
0.001,677,0,3,9,9,0,0.9375,0.9375,0.0
0.001,684,0,3,14,14,0,0.9444444444444444,0.9444444444444444,0.0
0.001,697,0,3,12,12,0,0.962962962962963,0.962962962962963,0.0
0.001,717,0,3,14,14,0,0.9032258064516128,0.9032258064516128,0.0
0.001,742,0,3,13,13,0,0.9,0.9,0.0
0.001,746,0,3,9,9,0,0.8181818181818181,0.8181818181818181,0.0
0.001,767,0,3,8,8,0,0.8571428571428571,0.8571428571428571,0.0
0.001,771,0,3,13,13,0,0.8181818181818181,0.8181818181818181,0.0
0.001,793,0,3,11,11,0,0.85,0.85,0.0
0.001,805,0,3,15,15,0,0.7346938775510204,0.7346938775510204,0.0
0.001,836,0,3,14,14,0,0.8163265306122449,0.8163265306122449,0.0
0.001,840,0,3,11,11,0,0.84,0.84,0.0
0.001,846,0,3,8,8,0,0.830188679245283,0.830188679245283,0.0
0.001,882,0,3,12,12,0,0.7659574468085107,0.7659574468085107,0.0
0.001,890,0,3,13,13,0,0.851063829787234,0.851063829787234,0.0
0.001,918,0,3,10,10,0,0.7826086956521738,0.7826086956521738,0.0
0.001,924,0,3,14,14,0,0.8333333333333333,0.8333333333333333,0.0
0.001,1004,0,3,9,9,0,0.8095238095238095,0.8095238095238095,0.0
0.001,1042,0,3,8,8,0,0.7916666666666666,0.7916666666666666,0.0
0.001,1064,0,3,10,10,0,0.782608695652174,0.7272727272727272,0.055335968379446765
0.001,1083,0,3,14,14,0,0.7317073170731707,0.7317073170731707,0.0
0.001,1085,0,3,12,12,0,0.761904761904762,0.761904761904762,0.0
0.001,1096,0,3,10,10,0,0.8421052631578948,0.8421052631578948,0.0
0.001,1105,0,3,14,14,0,0.7999999999999999,0.7999999999999999,0.0
0.001,1123,0,3,14,14,0,0.7777777777777778,0.8108108108108109,-0.033033033033033066
0.001,1141,0,3,12,12,0,0.7692307692307692,0.7692307692307692,0.0
0.001,1167,0,3,10,10,0,0.7894736842105262,0.7894736842105262,0.0
0.001,1235,0,3,10,10,0,0.8602150537634408,0.8602150537634408,0.0
0.001,1238,0,3,15,15,0,0.851063829787234,0.851063829787234,0.0
0.001,1250,0,3,14,14,0,0.8387096774193549,0.8602150537634409,-0.021505376344086002
0.001,1279,0,3,12,12,0,0.8865979381443299,0.8775510204081631,0.009046917736166726
0.001,1292,0,3,14,14,0,0.8686868686868686,0.8686868686868686,0.0
0.001,1316,0,3,10,10,0,0.9072164948453608,0.9072164948453608,0.0
0.001,1321,0,3,15,15,0,0.8631578947368421,0.8631578947368421,0.0
0.001,1325,0,3,16,16,0,0.8631578947368421,0.8631578947368421,0.0
0.001,1339,0,3,12,12,0,0.8865979381443299,0.8865979381443299,0.0
0.001,1353,0,3,15,15,0,0.8297872340425532,0.8421052631578948,-0.012318029115341633
0.001,1361,0,3,11,11,0,0.8631578947368421,0.8631578947368421,0.0
0.001,1367,0,3,12,12,0,0.8817204301075269,0.8817204301075269,0.0
0.001,1371,0,3,9,9,0,0.8631578947368421,0.8631578947368421,0.0
0.001,1377,0,3,12,12,0,0.865979381443299,0.865979381443299,0.0
0.001,1390,0,3,13,13,0,0.888888888888889,0.888888888888889,0.0
0.001,1409,0,3,11,11,0,0.9387755102040816,0.9387755102040816,0.0
0.001,1422,0,3,14,14,0,0.9183673469387756,0.9183673469387756,0.0
0.001,1427,0,3,10,10,0,0.9090909090909092,0.9090909090909092,0.0
0.001,1447,0,3,14,14,0,0.8823529411764706,0.8823529411764706,0.0
0.001,1457,0,3,9,9,0,0.9387755102040816,0.9494949494949496,-0.01071943929086805
