split,budget,policy,ap30_mean,ap30_std,ap50_mean,ap50_std,ap70_mean,ap70_std,n_realisations,snr_db,channel,rho_E,rho_L,rho_F,bler_F
culver,0.2,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,2.0,awgn,0.0,1.0,0.0,1.0
culver,0.2,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,2.0,awgn,0.0,1.0,0.0,1.0
culver,0.3,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,2.0,awgn,0.0,1.0,0.0,1.0
culver,0.3,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,2.0,awgn,0.0,1.0,0.0,1.0
culver,0.1,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,4.0,awgn,0.0,1.0,0.0,1.0
culver,0.1,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,4.0,awgn,0.0,1.0,0.0,1.0
culver,0.2,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,4.0,awgn,0.0,1.0,0.0,1.0
culver,0.2,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,4.0,awgn,0.0,1.0,0.0,1.0
culver,0.3,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,4.0,awgn,0.0,1.0,0.0,1.0
culver,0.3,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,4.0,awgn,0.0,1.0,0.0,1.0
culver,0.1,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,6.0,awgn,0.0,1.0,0.0,1.0
culver,0.1,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,6.0,awgn,0.0,1.0,0.0,1.0
culver,0.2,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,6.0,awgn,0.0,1.0,0.0,1.0
culver,0.2,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,6.0,awgn,0.0,1.0,0.0,1.0
culver,0.3,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,6.0,awgn,0.0,1.0,0.0,1.0
culver,0.3,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,6.0,awgn,0.0,1.0,0.0,1.0
culver,0.1,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,8.0,awgn,0.0,1.0,0.0,0.4023998922746115
culver,0.1,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,8.0,awgn,0.0,1.0,0.0,0.4023998922746115
culver,0.2,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,8.0,awgn,0.0,1.0,0.0,0.4023998922746115
culver,0.2,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,8.0,awgn,0.0,1.0,0.0,0.4023998922746115
culver,0.3,CA-TOSG-RF,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,8.0,awgn,0.0,1.0,0.0,0.4023998922746115
culver,0.3,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,8.0,awgn,0.0,1.0,0.0,0.4023998922746115
culver,0.1,CA-TOSG-RF,0.7957,0.0,0.7835,0.0,0.6985,0.0,200,10.0,awgn,0.0,0.9872727272727273,0.012727272727272728,0.0
culver,0.1,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,10.0,awgn,0.0,1.0,0.0,0.0
culver,0.2,CA-TOSG-RF,0.8019,0.0,0.7897,0.0,0.7022,0.0,200,10.0,awgn,0.0,0.9363636363636364,0.06363636363636363,0.0
culver,0.2,SNR-threshold,0.7951,0.0,0.7828,0.0,0.6975,0.0,200,10.0,awgn,0.0,1.0,0.0,0.0
culver,0.3,CA-TOSG-RF,0.8478,0.0,0.8371,0.0,0.7422,0.0,200,10.0,awgn,0.0,0.56,0.44,0.0
