fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,n_frames,realised_f1,realised_payload
2021_08_23_13_17_21,24,400,10.0,2,0.5,balanced,0.1,48,0.919094,0.2655
2021_08_23_19_42_07,24,400,10.0,2,0.5,balanced,0.1,57,0.800953,0.024
2021_09_09_19_27_35,24,400,10.0,2,0.5,balanced,0.1,459,0.743694,0.052125
2021_09_11_00_33_16,24,400,10.0,2,0.5,balanced,0.1,746,0.858642,0.024
2021_08_20_21_48_35,25,400,10.0,2,0.5,balanced,0.2,112,0.854261,0.024
2021_08_21_17_30_41,25,400,10.0,2,0.5,balanced,0.2,157,0.882277,0.024
2021_08_22_13_37_16,25,400,10.0,2,0.5,balanced,0.2,135,0.971686,0.024
2021_08_22_22_01_17,25,400,10.0,2,0.5,balanced,0.2,202,0.98737,0.024
2021_08_23_10_51_24,25,400,10.0,2,0.5,balanced,0.2,64,0.886513,0.024
2021_08_23_13_17_21,25,400,10.0,2,0.5,balanced,0.2,48,0.91825,0.024
2021_08_23_19_42_07,25,400,10.0,2,0.5,balanced,0.2,57,0.800953,0.024
2021_09_09_19_27_35,25,400,10.0,2,0.5,balanced,0.2,459,0.744719,0.024
2021_09_11_00_33_16,25,400,10.0,2,0.5,balanced,0.2,746,0.858642,0.024
2021_08_20_21_48_35,26,400,10.0,2,0.5,balanced,0.35,112,0.854261,0.024
2021_08_21_17_30_41,26,400,10.0,2,0.5,balanced,0.35,157,0.882277,0.024
2021_08_22_13_37_16,26,400,10.0,2,0.5,balanced,0.35,135,0.970981,0.023644
2021_08_22_22_01_17,26,400,10.0,2,0.5,balanced,0.35,202,0.98737,0.024
2021_08_23_10_51_24,26,400,10.0,2,0.5,balanced,0.35,64,0.886513,0.024
2021_08_23_13_17_21,26,400,10.0,2,0.5,balanced,0.35,48,0.909367,0.023
2021_08_23_19_42_07,26,400,10.0,2,0.5,balanced,0.35,57,0.800953,0.024
2021_09_09_19_27_35,26,400,10.0,2,0.5,balanced,0.35,459,0.744719,0.024
2021_09_11_00_33_16,26,400,10.0,2,0.5,balanced,0.35,746,0.801769,0.006306
2021_08_20_21_48_35,27,400,10.0,2,0.5,balanced,0.5,112,0.854261,0.024
2021_08_21_17_30_41,27,400,10.0,2,0.5,balanced,0.5,157,0.882277,0.024
2021_08_22_13_37_16,27,400,10.0,2,0.5,balanced,0.5,135,0.969273,0.022756
2021_08_22_22_01_17,27,400,10.0,2,0.5,balanced,0.5,202,0.98737,0.024
2021_08_23_10_51_24,27,400,10.0,2,0.5,balanced,0.5,64,0.886513,0.024
2021_08_23_13_17_21,27,400,10.0,2,0.5,balanced,0.5,48,0.913228,0.0235
2021_08_23_19_42_07,27,400,10.0,2,0.5,balanced,0.5,57,0.800953,0.024
2021_09_09_19_27_35,27,400,10.0,2,0.5,balanced,0.5,459,0.744719,0.024
2021_09_11_00_33_16,27,400,10.0,2,0.5,balanced,0.5,746,0.851514,0.021877
2021_08_20_21_48_35,28,400,10.0,4,sqrt,,0.0,112,0.857538,0.083199
2021_08_21_17_30_41,28,400,10.0,4,sqrt,,0.0,157,0.883815,0.039942
2021_08_22_13_37_16,28,400,10.0,4,sqrt,,0.0,135,0.972045,0.045141
2021_08_22_22_01_17,28,400,10.0,4,sqrt,,0.0,202,0.987753,0.130295
2021_08_23_10_51_24,28,400,10.0,4,sqrt,,0.0,64,0.890544,0.10633
2021_08_23_13_17_21,28,400,10.0,4,sqrt,,0.0,48,0.919464,0.051443
2021_08_23_19_42_07,28,400,10.0,4,sqrt,,0.0,57,0.812625,0.186541
2021_09_09_19_27_35,28,400,10.0,4,sqrt,,0.0,459,0.743799,0.282767
2021_09_11_00_33_16,28,400,10.0,4,sqrt,,0.0,746,0.872561,0.287455
2021_08_20_21_48_35,29,400,10.0,4,sqrt,,0.02,112,0.856418,0.068693
2021_08_21_17_30_41,29,400,10.0,4,sqrt,,0.02,157,0.882566,0.027356
2021_08_22_13_37_16,29,400,10.0,4,sqrt,,0.02,135,0.971686,0.025952
2021_08_22_22_01_17,29,400,10.0,4,sqrt,,0.02,202,0.98737,0.035738
2021_08_23_10_51_24,29,400,10.0,4,sqrt,,0.02,64,0.889459,0.081631
2021_08_23_13_17_21,29,400,10.0,4,sqrt,,0.02,48,0.919039,0.056017
2021_08_23_19_42_07,29,400,10.0,4,sqrt,,0.02,57,0.80283,0.04634
2021_09_09_19_27_35,29,400,10.0,4,sqrt,,0.02,459,0.743592,0.275975
2021_09_11_00_33_16,29,400,10.0,4,sqrt,,0.02,746,0.871401,0.270268
2021_08_20_21_48_35,30,400,10.0,4,sqrt,,0.05,112,0.854261,0.024
2021_08_21_17_30_41,30,400,10.0,4,sqrt,,0.05,157,0.882277,0.024
2021_08_22_13_37_16,30,400,10.0,4,sqrt,,0.05,135,0.971686,0.024
2021_08_22_22_01_17,30,400,10.0,4,sqrt,,0.05,202,0.98737,0.024
2021_08_23_10_51_24,30,400,10.0,4,sqrt,,0.05,64,0.886513,0.024
2021_08_23_13_17_21,30,400,10.0,4,sqrt,,0.05,48,0.91825,0.024
2021_08_23_19_42_07,30,400,10.0,4,sqrt,,0.05,57,0.800953,0.024
2021_09_09_19_27_35,30,400,10.0,4,sqrt,,0.05,459,0.744578,0.032323
2021_09_11_00_33_16,30,400,10.0,4,sqrt,,0.05,746,0.858642,0.024
2021_08_20_21_48_35,31,400,10.0,4,sqrt,,0.1,112,0.854261,0.024
2021_08_21_17_30_41,31,400,10.0,4,sqrt,,0.1,157,0.882277,0.024
