fold_scene,candidate_index,n_frames,lambda,realised_f1,realised_payload
2021_09_09_19_27_35,48,459,0.5,0.744719,0.024
2021_09_11_00_33_16,48,746,0.5,0.858642,0.024
2021_08_20_21_48_35,49,112,0.0,0.812646,0.315
2021_08_21_17_30_41,49,157,0.0,0.835295,0.315
2021_08_22_13_37_16,49,135,0.0,0.941959,0.315
2021_08_22_22_01_17,49,202,0.0,0.919658,0.315
2021_08_23_10_51_24,49,64,0.0,0.807606,0.315
2021_08_23_13_17_21,49,48,0.0,0.83354,0.315
2021_08_23_19_42_07,49,57,0.0,0.80277,0.315
2021_09_09_19_27_35,49,459,0.0,0.576226,0.315
2021_09_11_00_33_16,49,746,0.0,0.815093,0.315
2021_08_20_21_48_35,50,112,0.02,0.824357,0.274364
2021_08_21_17_30_41,50,157,0.02,0.843433,0.273273
2021_08_22_13_37_16,50,135,0.02,0.966596,0.283091
